Epoch [2/10] | Batch #33 | Batch Accuracy 99.34%
Epoch [2/10] | Batch #34 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #35 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #36 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #37 | Batch Accuracy 99.41%
Epoch [2/10] | Batch #38 | Batch Accuracy 99.42%
Epoch [2/10] | Batch #39 | Batch Accuracy 99.44%
Epoch [2/10] | Batch #40 | Batch Accuracy 99.45%
Epoch [2/10] | Batch #41 | Batch Accuracy 99.47%
Epoch [2/10] | Batch #42 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #43 | Batch Accuracy 99.42%
Epoch [2/10] | Batch #44 | Batch Accuracy 99.43%
Epoch [2/10] | Batch #45 | Batch Accuracy 99.44%
Epoch [2/10] | Batch #46 | Batch Accuracy 99.46%
Epoch [2/10] | Batch #47 | Batch Accuracy 99.47%
Epoch [2/10] | Batch #48 | Batch Accuracy 99.41%
Epoch [2/10] | Batch #49 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #50 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #51 | Batch Accuracy 99.26%
Epoch [2/10] | Batch #52 | Batch Accuracy 99.28%
Epoch [2/10] | Batch #53 | Batch Accuracy 99.29%
Epoch [2/10] | Batch #54 | Batch Accuracy 99.31%
Epoch [2/10] | Batch #55 | Batch Accuracy 99.32%
Epoch [2/10] | Batch #56 | Batch Accuracy 99.33%
Epoch [2/10] | Batch #57 | Batch Accuracy 99.34%
Epoch [2/10] | Batch #58 | Batch Accuracy 99.35%
Epoch [2/10] | Batch #59 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #60 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #61 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #62 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #63 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #64 | Batch Accuracy 99.37%
Epoch [2/10] | Batch #65 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #66 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #67 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #68 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #69 | Batch Accuracy 99.41%
Epoch [2/10] Train Loss: 0.0374 | Train Acc: 99.41% | Val Acc: 98.32% | Val Loss: 0.06%
Epoch [3/10] | Batch #1 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #2 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #3 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #4 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #5 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #6 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #7 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #8 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #9 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #10 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #11 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #12 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #13 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #14 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #15 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #16 | Batch Accuracy 99.41%
Epoch [3/10] | Batch #17 | Batch Accuracy 99.45%
Epoch [3/10] | Batch #18 | Batch Accuracy 99.48%
Epoch [3/10] | Batch #19 | Batch Accuracy 99.51%
Epoch [3/10] | Batch #20 | Batch Accuracy 99.53%
Epoch [3/10] | Batch #21 | Batch Accuracy 99.26%
Epoch [3/10] | Batch #22 | Batch Accuracy 99.15%
Epoch [3/10] | Batch #23 | Batch Accuracy 99.18%
Epoch [3/10] | Batch #24 | Batch Accuracy 99.22%
Epoch [3/10] | Batch #25 | Batch Accuracy 99.25%
Epoch [3/10] | Batch #26 | Batch Accuracy 99.28%
Epoch [3/10] | Batch #27 | Batch Accuracy 99.31%
Epoch [3/10] | Batch #28 | Batch Accuracy 99.33%
Epoch [3/10] | Batch #29 | Batch Accuracy 99.14%
Epoch [3/10] | Batch #30 | Batch Accuracy 99.17%
Epoch [3/10] | Batch #31 | Batch Accuracy 99.19%
Epoch [3/10] | Batch #32 | Batch Accuracy 99.22%
Epoch [3/10] | Batch #33 | Batch Accuracy 99.24%
Epoch [3/10] | Batch #34 | Batch Accuracy 99.26%
Epoch [3/10] | Batch #35 | Batch Accuracy 99.29%
Epoch [3/10] | Batch #36 | Batch Accuracy 99.31%
Epoch [3/10] | Batch #37 | Batch Accuracy 99.32%
Epoch [3/10] | Batch #38 | Batch Accuracy 99.34%
Epoch [3/10] | Batch #39 | Batch Accuracy 99.36%
Epoch [3/10] | Batch #40 | Batch Accuracy 99.38%
Epoch [3/10] | Batch #41 | Batch Accuracy 99.39%
Epoch [3/10] | Batch #42 | Batch Accuracy 99.40%
Epoch [3/10] | Batch #43 | Batch Accuracy 99.42%
Epoch [3/10] | Batch #44 | Batch Accuracy 99.43%
Epoch [3/10] | Batch #45 | Batch Accuracy 99.44%
