Epoch [5/10] | Batch #29 | Batch Accuracy 82.47%
Epoch [5/10] | Batch #30 | Batch Accuracy 82.71%
Epoch [5/10] | Batch #31 | Batch Accuracy 82.93%
Epoch [5/10] | Batch #32 | Batch Accuracy 83.27%
Epoch [5/10] | Batch #33 | Batch Accuracy 83.08%
Epoch [5/10] | Batch #34 | Batch Accuracy 83.27%
Epoch [5/10] | Batch #35 | Batch Accuracy 83.15%
Epoch [5/10] | Batch #36 | Batch Accuracy 83.33%
Epoch [5/10] | Batch #37 | Batch Accuracy 83.33%
Epoch [5/10] | Batch #38 | Batch Accuracy 83.50%
Epoch [5/10] | Batch #39 | Batch Accuracy 83.60%
Epoch [5/10] | Batch #40 | Batch Accuracy 83.59%
Epoch [5/10] | Batch #41 | Batch Accuracy 83.74%
Epoch [5/10] | Batch #42 | Batch Accuracy 83.83%
Epoch [5/10] | Batch #43 | Batch Accuracy 83.91%
Epoch [5/10] | Batch #44 | Batch Accuracy 84.04%
Epoch [5/10] | Batch #45 | Batch Accuracy 84.03%
Epoch [5/10] | Batch #46 | Batch Accuracy 83.83%
Epoch [5/10] Train Loss: 0.4452 | Train Acc: 83.83% | Val Acc: 75.78% | Val Loss: 0.62%
Epoch [6/10] | Batch #1 | Batch Accuracy 81.25%
Epoch [6/10] | Batch #2 | Batch Accuracy 84.38%
Epoch [6/10] | Batch #3 | Batch Accuracy 83.33%
Epoch [6/10] | Batch #4 | Batch Accuracy 83.33%
Epoch [6/10] | Batch #5 | Batch Accuracy 82.92%
